测试结果               职业分类               职业项                                                          所需专业及代码            
ENTJ
              商业                                                                              
                                      司法官                                                          
                                      消防员                                                          
                                      调查员                                                          
                                      运动器材商品推销                                                     
                                      药品推销                                                         药学类其他专业630399，蒙药学63
                                      私人调查或私人侦探
                                                   法律执行类6902，法律实务类其他专业
                   技术部门                                                                            
                                      电器设备专家                                                       电子807，机电一体化580201，机
                                      信息产业开发人员                                                     电子807，通信类5903      
                                      技术培训人员——一对一设置的                                               
                                      后勤和供给制造商或经理                                                  物流管理与工程类1206，物流管理12
                                      网络调查专家(通讯部门)                                                 电子807，通信类5903，计算机08
                                      电脑程序设计师                                                      电子807，通信类5903，计算机08
                                      海洋生物学家                                                       海洋科学类0707，水文地质与勘查技术
                                      电器工程师、机械工程师、土木工程师
                                           电子807，机电一体化580201，机
                   健康护理业                                                                           
                                      心电图专家或技师                                                     
                                      透射技师                                                         
                                      急救医生                                                         临床医学类1002，临床医学10020
                                      运动保健医生                                                       临床医学类1002，临床医学10020
                                      牙医牙科助理
                                                      临床医学类1002，临床医学10020
                   商业／金融业                                                                          
                                      证券分析家                                                        审计实务620207，审计学12020
                                      采购员                                                          
                                      办公室管理人员                                                      行政管理650203，人力资源管理12
                                      银行家                                                          金融学类0203，金融学020301，
                                      经济学家                                                         金融学类0203，金融学020301，
                                      法律顾问                                                         法律执行类6902，法律实务类其他专业
                                      业务顾问                                                         法律执行类6902，法律实务类其他专业
                                      律师帮办
                                                        法律执行类6902，法律实务类其他专业
                   贸易部门                                                                            
                                      计算机维修                                                        计算机0809，软件工程080902，
                                      飞机技师                                                         飞行技术081805，飞行器设计与工程
                                      农场人员                                                         
                                      教练                                                           
                                      木工                                                           
                                      汽车部件零售商                                                      机械设计5801，汽车类5804，汽车
                                      商业家
                                                         市场管理与服务620511，市场营销1
ISTJ
                                                                                              
                   商业                                                                              
                                      审计员                                                          审计实务620207，审计学12020
                                      公司经理                                                         行政管理120402，行政管理6502
                                      会计                                                           审计实务620207，审计学12020
                                      管理者／监督人                                                      行政管理120402，行政管理6502
                                      文字信息处理专家                                                     计算机0809，软件工程080902，
                                      效率专家／效率分析者                                                   
                                      保险业主(保险商)                                                    保险学020303，保险实务62010
                                      后勤供给经理                                                       物流管理与工程类1206，物流管理12
                                      制定规章制度的官员                                                    行政管理120402，行政管理6502
                                      信息总管                                                         计算机0809，软件工程080902，
                                      会计／保险统计员
                                                    财务会计类其他专业620299，财务会
                   销售／服务                                                                           
                                      警察局高级职员／侦探                                                   
                                      情报检索服务社代理人                                                   
                                      政府雇员                                                         
                                      陆军军官                                                         
                                      管教人员                                                         
                                      房地产代理商                                                       市场管理与服务620511，市场营销1
                                      体育设备／商品销售商                                                   市场管理与服务620511，市场营销1
                                      教养所所长
                                                       
                   金融                                                                              
                                      银行查帐员                                                        审计实务620207，审计学12020
                                      投资担保人                                                        审计实务620207，审计学12020
                                      税收监察员                                                        审计实务620207，审计学12020
                                      预算分析员                                                        审计实务620207，审计学12020
                                      股票经纪人                                                        金融学类0203，金融学020301，
                                      房地产策划                                                        工商企业管理620501，信息传播与策
                                      信贷分析员
                                                       审计实务620207，审计学12020
                   教育                                                                              教育学04，教育学类0401，教育学0
                                      学校校长                                                         教育学04，教育学类0401，教育学0
                                      教师：技术／工业／数学／物理                                               教育学04，教育学类0401，教育学0
                                      图书管理员                                                        教育学04，教育学类0401，教育学0
                                      管理者
                                                         教育学04，教育学类0401，教育学0
                   法律／技术                                                                           
                                      法律调查员                                                        法律执行类6902，法律实务类其他专业
                                      律师秘书                                                         法律执行类6902，法律实务类其他专业
                                      电工                                                           
                                      工程师                                                          环境工程082502，环保类6001 
                                      机械师                                                          机械制造580102，机电一体化580
                                      计算机程序设计员                                                     计算机0809，软件工程080902，
                                      科学作家                                                         戏剧与影视学类1303，戏剧学1303
                                      律师秘书／律师专职助手                                                  法律执行类6902，法律实务类其他专业
                                      药品经销商／调查员                                                    市场管理与服务620511，市场营销1
                                      脑电图技术专家／技师                                                   计算机0809，软件工程080902 
                                      地质学家                                                         矿产地质与勘察540106，地质类08
                                      气象学家                                                         气象类6002，应用气象学070602
                                      航空机械师                                                        飞行技术081805，飞行器设计与工程
                                      机械／工业／电子工程师                                                  机械制造580102，机电一体化580
                                      农业科学家
                                                       农学090101，水土保持与荒漠化防治
                   保健                                                                              
                                      兽医                                                           动物药学090402，动物医学5103
                                      普通外科医师                                                       临床医学类1002，临床医学10020
                                      牙医                                                           临床医学类1002，临床医学10020
                                      护理指导员                                                        藏医学100503，中医学类1005，
                                      保健指导员                                                        藏医学100503，中医学类1005，
                                      药剂师                                                          药学类其他专业630399，蒙药学63
                                      实验室技术人员                                                      药学类其他专业630399，蒙药学63
                                      医学研究者                                                        临床医学类1002，临床医学10020
                                      最初保健护理医师                                                     藏医学100503，中医学类1005，
                                      生物学和医学技术专家                                                   生物医学工程类0826，生物医学工程0
                                      运动生理学家                                                       生物医学工程类0826，生物医学工程0
                                      药剂师／配药技术员
                                                   药学类其他专业630399，蒙药学63
ISFP
                                                                                              
                   工艺部门                                                                            
                                      时装设计                                                         工艺美术品设计与制作670134，工业
                                      木匠                                                           
                                      珠宝商                                                          
                                      园艺匠                                                          风景园林082803，园林090502
                                      织毯工人                                                         
                                      陶工                                                           
                                      漆匠                                                           
                                      舞蹈员                                                          音乐与舞蹈学类1302，舞蹈表演130
                                      设计人员：内容／背景                                                   工艺美术品设计与制作670134，工业
                                      厨师长
                                                         
                   健康护理部门                                                                          
                                      上门服务护士                                                       护理630201，护理类6302，护理
                                      运动专家                                                         护理630201，护理类6302，护理
                                      按摩医生                                                         护理630201，护理类6302，护理
                                      放射技师                                                         医学影像技术101003       
                                      医务助理                                                         临床医学类1002，临床医学10020
                                      牙科助理／保健医师                                                    护理630201，护理类6302，护理
                                      兽医助理                                                         动物药学090402，动物医学5103
                                      动物护理人员／训练人员                                                  动物药学090402，动物医学5103
                                      家庭保健助理                                                       护理630201，护理类6302，护理
                                      初级保健大夫                                                       护理630201，护理类6302，护理
                                      饮食专家／营养学家                                                    医学营养630407，营养配餐6402
                                      验光师／配镜师                                                      
                                      运动心理专家                                                       应用心理学071102，心理学类071
                                      职业疗法医师                                                       护理630201，护理类6302，护理
                                      工艺师                                                          
                                      药剂师                                                          药学类其他专业630399，蒙药学63
                                      呼吸系统专家                                                       
                                      执行医护士
                                                       护理630201，护理类6302，护理
                   技术工作                                                                            
                                      调查员                                                          
                                      计算机操作人员                                                      计算机0809，软件工程080902，
                                      林务员                                                          林学类0905，林学090501，林业
                                      植物学家                                                         植物生产类0901，植物保护09010
                                      地质学家                                                         矿产地质与勘察540106，地质类08
                                      技师                                                           
                                      海洋生物学家
                                                      海洋科学类0707，水文地质与勘查技术
                   销售／服务业                                                                          
                                      教师：初级(自然科学／艺术)                                               教育学04，教育学类0401，教育学0
                                      警察／劳改官员                                                      
                                      紧急热线电话操作员                                                    
                                      清洁服务人员                                                       
                                      仓库保管员                                                        
                                      侍者                                                           
                                      美容师                                                          
                                      旅行用品推销                                                       市场管理与服务620511，市场营销1
                                      优质用户销售代表                                                     市场管理与服务620511，市场营销1
                                      商业计划人员                                                       
                                      体育设备推销                                                       市场管理与服务620511，市场营销1
                                      家用保健品推销                                                      藏医学100503，中医学类1005，
                                      家庭保健护理人员                                                     藏医学100503，中医学类1005，
                                      儿童福利咨询人员                                                     
                                      戒酒戒毒顾问                                                       
                                      社会工作人员
                                                      公共管理类1204，公共关系学1204
                   商业                                                                              
                                      记帐员                                                          
                                      司法员                                                          
                                      打字员                                                          
                                      职员监督人员                                                       
                                      经理人员                                                         行政管理120402，行政管理6502
                                      律师帮办
                                                        法律执行类6902，法律实务类其他专业
ISFJ
                                                                                              
                   健康护理部分                                                                          
                                      牙医                                                           
                                      家庭运动医生                                                       临床医学类1002，临床医学10020
                                      护士                                                           护理630201，护理类6302，护理
                                      医务技术专家                                                       临床医学类1002，临床医学10020
                                      理疗法专家                                                        藏医学100503，中医学类1005，
                                      医疗设备推销                                                       市场管理与服务620511，市场营销1
                                      提供健康护理人员                                                     护理630201，护理类6302，护理
                                      饮食专家／营养学家                                                    医学营养630407，营养配餐6402
                                      眼科大夫                                                         
                                      医务记录管理人员                                                     
                                      药剂师／药剂技术人员                                                   药学类其他专业630399，蒙药学63
                                      放射专家                                                         医学影像技术101003       
                                      呼吸系统专家                                                       
                                      兽医                                                           动物药学090402，动物医学5103
                                      有执照行医护士                                                      护理630201，护理类6302，护理
                                      初级保健大夫                                                       中医康复学100510，中医儿科学10
                                      家庭保健助理                                                       中医康复学100510，中医儿科学10
                                      医务／牙科助理
                                                     护理630201，护理类6302，护理
                   社会服务部门／教育部门                                                                     
                                      学前教育／初级学校教师                                                  教育学04，教育学类0401，教育学0
                                      图书馆员／建筑师                                                     建筑类0828，建筑学080201，建
                                      教育管理人员                                                       教育学04，教育学类0401，教育学0
                                      社会福利工作人员                                                     公共管理类1204，公共关系学1204
                                      咨询服务人员                                                       公共管理类1204，公共关系学1204
                                      个人咨询人员                                                       公共管理类1204，公共关系学1204
                                      宗教教育者                                                        教育学04，教育学类0401，教育学0
                                      言语病理学家                                                       临床医学类1002，临床医学10020
                                      家庭健康社会服务人员                                                   公共管理类1204，公共关系学1204
                                      儿童福利咨询人员                                                     教育学04，教育学类0401，教育学0
                                      戒酒和戒毒咨询人员                                                    教育学04，教育学类0401，教育学0
                                      小学教师                                                         教育学04，教育学类0401，教育学0
                                      图书管理员／档案保管员                                                  教育学04，教育学类0401，教育学0
                                      特殊教育老师                                                       教育学04，教育学类0401，教育学0
                                      (博物馆、美术馆、图书馆等的)馆长                                            公共管理类1204，公共关系学1204
                                      家谱学家                                                         
                                      教育行政人员                                                       教育学04，教育学类0401，教育学0
                                      咨询服务人员                                                       公共管理类1204，公共关系学1204
                                      社会工作者(老年服务)                                                  公共管理类1204，公共关系学1204
                                      神学教育者                                                        教育学04，教育学类0401，教育学0
                                      (博物馆、图书馆、美术馆等的)馆长                                            公共管理类1204，公共关系学1204
                                      社会工作人员(老年和儿童每日看护问题)
                                         教育学04，教育学类0401，教育学0
                   商业                                                                              
                                      秘书                                                           
                                      员工监督人                                                        
                                      顾客服务代表                                                       
                                      人事管理人员                                                       
                                      计算机操作者                                                       计算机0809，软件工程080902，
                                      记帐员                                                          
                                      信用顾问                                                         
                                      律师的专职助手                                                      法律执行类6902，法律实务类其他专业
                                      家用保健品推销
                                                     市场管理与服务620511，市场营销1
                   造性／技术性                                                                          
                                      内部装饰人员                                                       室内设计技术560104，室内艺术设计
                                      电工                                                           
                                      零售商                                                          
                                      旅店老板                                                         
                                      艺术家                                                          艺术学理论类1301，艺术设计学130
                                      音乐家                                                          音乐与舞蹈学类1302，音乐学1302
                                      优先顾客销售代理人                                                    市场管理与服务620511，市场营销1
                                      商业计划者                                                        工商企业管理620501，信息传播与策
                                      不动产经纪人
                                                      
INTP
                                                                                              
                   计划和开发                                                                           
                                      计算机软件设计员                                                     计算机0809，软件工程080902，
                                      计算机程序员                                                       计算机0809，软件工程080902，
                                      系统分析人员／数据库管理人员                                               计算机0809，软件工程080902，
                                      调查开发专家                                                       工商企业管理620501，信息传播与策
                                      战略策划者                                                        
                                      新市场或新产品开发者                                                   
                                      网络一体化专家(电信专家)                                                计算机0809，软件工程080902，
                                      转换管理方式的咨询                                                    
                                      财政计划者                                                        财务会计类其他专业620299，财务会
                                      投资银行家                                                        金融学类0203，金融学020301，
                                      信息服务开发者——计算机程序设计                                             计算机0809，软件工程080902，
                                      信息服务——新的商业开发领域                                               计算机0809，软件工程080902，
                                      管理咨询：计算机／信息服务，销售，重组
                                         计算机0809，软件工程080902，
                   保健／技术                                                                           
                                      神经病学家                                                        精神医学100205         
                                      物理学家                                                         
                                      整形外科医生                                                       生物医学100102，生物医学科学10
                                      药剂师                                                          药学类其他专业630399，蒙药学63
                                      科学家：化学／生物                                                    化学类0703，化工技术类及其专业53
                                      药品调查员                                                        药学类其他专业630399，蒙药学63
                                      生物工程学家                                                       生物医学100102，生物医学科学10
                                      兽医
                                                          动物药学090402，动物医学5103
                   专门领域                                                                            
                                      律师                                                           法律执行类6902，法律实务类其他专业
                                      经济学家                                                         金融学类0203，金融学020301，
                                      心理学家／精神分析学家                                                  应用心理学071102，心理学类071
                                      金融分析家                                                        金融学类0203，金融学020301，
                                      建筑师                                                          建筑类0828，建筑学080201，建
                                      侦探                                                           
                                      知识产权代理人                                                      法律执行类6902，法律实务类其他专业
                                      法律调解人                                                        法律执行类6902，法律实务类其他专业
                                      公司财务代理人                                                      财务会计类其他专业620299，财务会
                                      精神病医生
                                                       临床医学类1002，临床医学10020
                   学术领域                                                                            
                                      数学家                                                          数学类0701            
                                      考古学家                                                         考古学060103，考古探掘技术660
                                      历史学家                                                         历史学类0601，历史学060101 
                                      哲学家                                                          哲学类0101，哲学010101   
                                      大学里的高级教师                                                     
                                      学术研究者                                                        
                                      逻辑学家                                                         逻辑学010102          
                                      大学行政官员                                                       公共管理类1204，公共关系学1204
