"测试结果"	"职业分类"	"职业项"	"所需专业及代码"
		"环境法律师
"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
"ESTP
"			
	"销售／服务／“活动”"		
		"警察"	
		"消防队员"	
		"护理人员"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"侦探"	
		"领航员"	
		"调查研究者"	
		"管教罪犯的人员"	
		"房地产经纪人"	"市场营销120202，房地产类5607"
		"急诊医士"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"运动生理学家／运动医学家"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"呼吸治疗专家"	
		"空中服务员"	
		"体育用品销售"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"调查保险诈骗人员"	"保险学020303，保险实务620107，机动车保险实务620121，法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"私人侦探
"	
	"金融"		
		"个人财务计划者"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"审计员"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120208"
		"股票经纪人"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"银行业者"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"投资者"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"保险推销"	"保险学020303，保险实务620107，机动车保险实务620121，法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"预算分折员"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"保险代理人／经纪人(推销商)
"	"保险学020303，保险实务620107，机动车保险实务620121，法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
	"娱乐业／体育运动"		
		"播送体育节目"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
		"新闻报道员"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
		"承办人"	
		"旅游代理人"	
		"舞蹈演员"	"音乐与舞蹈学类1302，舞蹈表演130204，舞蹈学130205，舞蹈编导130206，舞蹈编导670212，舞蹈表演670203"
		"酒吧间侍员"	
		"拍卖商"	
		"职业运动员／教练"	
		"体能指导员／训练者
"	
	"技术的／商贸"		
		"木匠"	
		"工匠／手艺人"	
		"农民"	
		"总承包商"	
		" 建筑工人"	
		"厨师长／厨师"	
		"电气工程师"	"电气类0806，动力类0805，电气工程及其自动化080601，电气工程与智能控制080633，电气自动化技术580202，电气设备应用与维护580312"
		"电子专家"	"自动化0808，计算机0809，通信类5903，电子工程807"
		"集成网络专家(电信学)"	"计算机0809，微电子590210，电机580104"
		"工业／机械工程师"	"电子807，机电一体化580201，机械制造580102，机械类0802，机械工程080201"
		"勘测员"	"矿产地质与勘察540106，地质类0814，矿物资源工程081505，采矿工程081501"
		"脑电图专家／技术员"	
		"放射学专业人员"	
		"飞机修理工"	"飞行技术081805，飞行器设计与工程082002，飞行器维修技术520516"
		"海洋生物学家"	"海洋科学类0707，水文地质与勘查技术540105，水文与水资源工程081102，水文与工程地质540203，水文与水资源类其他专业570199，水文与水资源类5701"
		"技术培训者——课堂环景"	
		"后勤和供给经营人——制造业 "	
		"土木工程师
"	"土木类0810，土木工程081001，土木工程检测技术560304"
	"商业"		
		"房地产经纪人"	"市场营销120202，房地产类5607"
		"中间商"	
		"房地产投资开发者"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"批发商"	
		"零售商"	
		"汽车销售商"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"业务顾问(业务活动)"	
		"特许经营者
"	
"ESTJ
"			
	"销售／服务"		
		"保险代理"	"保险学020303，保险实务620107，机动车保险实务620121，法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"丧葬承办者"	
		"厨师"	
		"陆军军官"	
		"教师：贸易、工业、技术"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"政府雇员"	
		"保安人员"	
		"体育商品／设备经销商"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"药品经销商"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"电信防护员"	
		"警察／监护官／管教官"	
		"销售(有形的东西)：计算机、不动产
"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
	"科技／物理"		
		"计算机系统分析家"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"审计员"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120209"
		"总承包商"	
		"农场主"	
		"建筑工人"	
		"药剂师"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"临床医师"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"会计学内部审计员"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120203，金融数学020305"
		"技术教员"	
		"脑电图技术专家／技师"	"放射医学100206，放射治疗技术630414"
		"工程师：机械领域／应用领域"	"电子807，机电一体化580201，机械制造580102，机械类0802，机械工程080201"
		"律师帮办
"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
	"管理"		
		"银行高级职员／贷款员"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"项目经理"	"行政管理120402，行政管理650203，人力资源管理120206，人力资源管理650204，管理科学120101"
		"职员总管"	
		"行政官员"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"工厂监督人"	
		"数据库经营者"	"计算机0809，软件工程080902"
		"购物代理人"	
		"信贷分析员"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"制定规章制度的官员"	
		"预算分析员"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"管理人：社会保健服务"	
		"信息主管"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"管理顾问：企业运行"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"后勤供给经理"	"物流管理与工程类1206，物流管理120601，物流工程120602，物流管理620505"
		"银行经理／贷款员"	
		"信贷分析员／顾问
"	"审计实务620207，审计学120208，财务管理620201，财务会计类其他专业620299，财政金融类其他专业620199，财务会计类6202，财务管理120204，会计学120203，金融数学020305"
	"专门领域"		
		"牙医"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"内科医生：普通医学"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"股票经纪人"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"法官"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"行政领导"	
		"教师：技术／贸易"	
		"公司财务律师"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"电气工程师"	"电气类0806，动力类0805，电气工程及其自动化080601，电气工程与智能控制080633，电气自动化技术580202，电气设备应用与维护580312"
		"最初保健护理医生"	"中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"工业工程师"	
		"律师帮办"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"药剂师"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"土木／机械／冶金工程师
"	"土木类0810，土木工程081001，土木工程检测技术560304，机械制造580102，机电一体化580201，汽车类5804，制冷550205，机械类802"
"ESFP
"			
	"教育及社会服务部门"		
		"教师：早期儿童教育及初级教育"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"儿童护理员。"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"家庭保健人员"	"中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"体育教练"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"特殊教育老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"酗酒，吸毒劝戒人员"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"儿童福利顾问"	
		"海洋生物学家
"	"海洋科学类0707，水文地质与勘查技术540105，水文与水资源工程081102，水文与工程地质540203，水文与水资源类其他专业570199，水文与水资源类5701"
	"健康护理"		
		"应急家庭护士"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"社会福利工作人员"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"训犬员"	
		"医务助理"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"牙科专家或牙科助理"	
		"领照实习护士"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"运动专家"	
		"最初保健护理医生"	"中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"家庭保健服务人员"	"中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"按摩专家"	
		"饮食专家或营养学家"	"医学营养630407，营养配餐640204，烹饪与营养教育082708，食品卫生与营养学100402，食品营养与卫生610318"
		"紧急医务工作人员"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"运动生理学家"	
		"药剂师"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"放射专家"	"放射医学100206，放射治疗技术630414"
		"呼吸系统专家"	
		"营养专家"	"医学营养630407，营养配餐640204，烹饪与营养教育082708，食品卫生与营养学100402，食品营养与卫生610318"
		"职业疗法医师
"	"中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
	"娱乐业"		
		"旅行代办人／旅游组织人员"	
		"摄像师"	"摄影130404"
		"电影制片人"	"电影学130303，戏剧影视文学130304"
		"音乐家"	"音乐与舞蹈学类1302，音乐学130202，音乐表演130201"
		"承办人员"	
		"特殊事件统筹人员"	"文化创意与策划660153，戏剧影视导演130306，戏剧影视表演670209，广播影视类6703，广播电视学050302，广播电视工程080707，广播电视编导130305，广播电视技术670301"
		"表演艺术人员、舞蹈员、喜剧演员
"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
	"商业／推销业"		
		"零售商或零售策划人员"	"文化创意与策划660153，戏剧影视导演130306，戏剧影视表演670209，广播影视类6703，广播电视学050302，广播电视工程080707，广播电视编导130305，广播电视技术670301"
		"公共关系专家"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"资金筹措者"	
		"劳资关系调查人员"	
		"接待员"	
		"商业计划人员"	"文化创意与策划660153，戏剧影视导演130306，戏剧影视表演670209，广播影视类6703，广播电视学050302，广播电视工程080707，广播电视编导130305，广播电视技术670301"
		"多样化管理者：人力资源"	
		"小组协同培训"	
		"旅行推销人员"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"保险代办人经纪人(健康或人寿)"	"保险学020303，保险实务620107，机动车保险实务620121，法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"房地产经纪人"	"市场营销120202，房地产类5607"
		"体育设备推销／买卖"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"零售推销"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"家用保键用品推销
"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
	"服务业"		
		"飞机服务员"	
		"秘书／接待员"	
		"侍者"	
		"旅店老板"	
		"花卉设计"	"室内设计技术560104，室内艺术设计670136，装潢设计与工艺教育040330"
		"警察／劳改服务人员
"	
"ESFJ
"			
	"保健"		
		"医师助理／牙医助理"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"言语病理学家"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"运动生理学家"	
		"家庭医生"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"护士"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"牙医"	
		"医用秘书"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"验光师"	
		"饮食学家／营养学家"	"医学营养630407，营养配餐640204，烹饪与营养教育082708，食品卫生与营养学100402，食品营养与卫生610318"
		"按摩治疗专家"	
		"验光师／配镜技师"	
		"药剂师／制药技师"	"药学类其他专业630399，蒙药学630306，藏药学630307，中药鉴定与质量检测技术630304，现代中药技术630305，药学类6303，药学630301，中药630302，维药学630303，药物化学100706，中药学100801，药物分析100705，药学类1007，药学100701，药物制剂100710"
		"呼吸系统治疗专家"	
		"兽医"	"动物药学090402，动物医学510310，动物医学类0904，动物医学090401"
		"领照实习护士"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"家庭健康护理"	"中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"最初保健护理医师"	"中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"理疗专家"	"中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
		"家庭健康社会工作者
"	"中医康复学100510，中医儿科学100512，中西医结合类1006，中西医临床医学100601，中医养生保健630420，中医康复技术630420"
	"教育"		
		"小学教师"	
		"特殊教育工怍者"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"儿童照管人员"	"护理630201，护理类6302，护理学类1011，护理学101101"
		"家庭经济教师"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"运动教练"	
		"双语教学老师
"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
	"社会服务／咨询"		
		"社会工作者"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"社区福利工作者"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"专业自愿者"	
		"宗教教育者"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"顾问"	
		"律师帮办"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"女雇员问题咨询顾问"	
		"儿童福利顾问"	
		"戒毒和戒酒咨询顾问"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"社会工作者"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"牧师／神父／拉比
"	
	"商务"		
		"公关业务经理"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"私人银行家"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"销售代表(有形商品)"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"电话推销员"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"办公室经理"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"零售商"	
		"接待员"	
		"保险代理(家庭)"	"保险学020303，保险实务620107，机动车保险实务620121，法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"管理顾问：人力资源／培训"	"人力资源管理120206，人力资源管理650204，管理科学120101"
		"信贷顾问"	
		"经营策划者
"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
	"销售／服务"		
		"飞机服务员"	
		"顾客服务代表"	
		"殡仪馆管理人员"	
		"高级理发师／美容师"	
		"旅店老板／老板娘"	
		"酒席承办者"	
		"资金筹集人"	
		"旅行推销员"	
		"环境旅游专家"	
		"不动产代理／经纪人"	
		"翻译"	
		"系谱学家"	
		"家庭保健用品销售"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"体育设备／商品销售"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"营销经理：无线电／电视／广播电缆工业
"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
	"职员工作"		
		"秘书"	
		"接待员"	
		"办公室机器操作员"	
		"簿记员"	
		"打字员
"	
"ENTP
"			
	"商业/金融/管理"		
		"行政官[商业、金融、保健、娱乐]"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"金融规划师"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"饭店经理"	
		"投资银行家"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"经纪人/证券销售代理商"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"管理顾问"	"公共管理类1204，公共关系学120409，公共事业类6501，公共关系650105"
		"新商业发展专家"	
		"财产经理"	"财务会计类其他专业620299，财务会计类6202，财务管理120204，会计学120203，金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"金融分析师"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
		"销售经理"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"培训和发展专家"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"风险投资家
"	"金融学类0203，金融学020301，金融工程020302，金融数学020305，经济与金融020307，财政金融类6201，金融管理与实务620103，财政金融类其他专业620199"
	"宣传/创意/营销 "		
		"广告总监"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"商业经理[艺术家、艺人、运动员]"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
		"作家"	
		"编辑"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
		"记者"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
		"文稿代理"	
		"公关总监/出版商"	
		"脱口秀主持人"	
		"舞台/电影制作人"	"音乐与舞蹈学类1302，舞蹈表演130204，舞蹈学130205，舞蹈编导130206，舞蹈编导670212，舞蹈表演670203"
		"网页开发商/设计师
"	
	"计算机/信息技术 "		
		"计算机分析师/工程师/程序员"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"计算机安全专家/信息与系统经理"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"互联网战略合作专家"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"网络整合专家"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
		"系统分析师
"	"计算机0809，软件工程080902，计算机应用技术590101，计算机类其他专业590199，计算机科学与技术080901"
	"教育"		
		"体育教练"	
		"教授/教师[高级
"	
	"创业/餐饮"		
		"发明家"	
		"餐厅/酒吧老板"	
		"小企业老板
"	
	"保健科学/心理学"		
		"急诊室医生/外科医生"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"家庭医生"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"内科医生"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
		"精神科医生
"	"临床医学类1002，临床医学100201，医学10，基础医学类1001，基础医学100110"
	"政治/政府"		
		"政治家/政治经理"	
		"地区/城市规划师
"	"建筑类0828，建筑学080201，建筑设计类5601"
	"法律"		
		"律师[尤其是在破产、移民、诉讼、购并、知识产权等领域]
"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
	"专业类工作"		
		"建筑师"	"建筑类0828，建筑学080201，建筑设计类5601"
		"侦探"	"法律执行类6902，法律实务类其他专业690199，法律执行类其他专业690299，法律69，法律实务类6901，司法助理690101"
		"工业工程师"	"土木类0810，土木工程081001，土木工程检测技术560304"
		"工业心理学家
"	"应用心理学071102，心理学类0711，心理学071102"
